"Rk","Player","X2015.16","Age","Tm","Lg","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
316,"Wayne Ellington",1500000,28,"BRK","NBA","SG",76,41,1615,218,561,0.389,96,268,0.358,122,293,0.416,0.474,54,63,0.857,20,154,174,83,48,5,45,82,586
327,"Jason Terry",1499187,38,"HOU","NBA","SG",72,7,1258,151,376,0.402,93,261,0.356,58,115,0.504,0.525,27,33,0.818,14,65,79,103,47,9,49,91,422
339,"Jordan Adams",1404600,21,"MEM","NBA","SG",2,0,15,2,6,0.333,0,1,0,2,5,0.4,0.333,3,5,0.6,0,2,2,3,3,0,2,2,7
344,"Sasha Vujacic",1356146,31,"NYK","NBA","SG",61,25,908,106,277,0.383,52,143,0.364,54,134,0.403,0.477,32,39,0.821,26,123,149,84,34,5,44,83,296
345,"Gerald Green",1356000,30,"MIA","NBA","SG",69,14,1557,230,587,0.392,84,260,0.323,146,327,0.446,0.463,72,92,0.783,25,138,163,56,38,19,46,123,616
346,"Rodney Hood",1348440,23,"UTA","NBA","SG",79,79,2541,408,972,0.42,161,449,0.359,247,523,0.472,0.503,172,200,0.86,38,229,267,213,73,16,125,202,1149
348,"Tim Hardaway",1304520,23,"ATL","NBA","SG",51,1,864,114,265,0.43,48,142,0.338,66,123,0.537,0.521,50,56,0.893,7,79,86,51,21,7,23,48,326
354,"Brandon Rush",1270964,30,"GSW","NBA","SG",72,25,1055,111,260,0.427,65,157,0.414,46,103,0.447,0.552,18,28,0.643,21,160,181,57,20,23,33,57,305
360,"Andre Roberson",1210800,24,"OKC","NBA","SG",70,70,1553,136,274,0.496,32,103,0.311,104,171,0.608,0.555,33,54,0.611,79,172,251,47,53,42,35,133,337
364,"Marcus Thornton",1186000,28,"WAS","NBA","SG",14,2,224,42,107,0.393,18,54,0.333,24,53,0.453,0.477,16,21,0.762,7,28,35,19,13,1,11,17,118
369,"C.J. Wilcox",1159680,25,"LAC","NBA","SG",23,0,167,26,66,0.394,9,23,0.391,17,43,0.395,0.462,9,12,0.75,1,11,12,10,10,2,2,15,70
372,"R.J. Hunter",1148640,22,"BOS","NBA","SG",36,0,315,36,98,0.367,19,63,0.302,17,35,0.486,0.464,6,7,0.857,2,35,37,13,14,4,11,29,97
387,"James Anderson",1015421,26,"SAC","NBA","SG",51,15,721,67,178,0.376,23,86,0.267,44,92,0.478,0.441,22,29,0.759,13,73,86,41,21,14,42,54,179
389,"E'Twaun Moore",1015421,26,"CHI","NBA","SG",59,22,1263,187,389,0.481,47,104,0.452,140,285,0.491,0.541,22,35,0.629,19,114,133,99,37,18,53,103,443
399,"Jared Cunningham",981348,24,"MIL","NBA","SG",4,0,55,4,14,0.286,2,7,0.286,2,7,0.286,0.357,6,7,0.857,0,9,9,1,2,0,3,4,16
404,"John Jenkins",981000,24,"PHO","NBA","SG",22,2,287,42,90,0.467,13,32,0.406,29,58,0.5,0.539,12,15,0.8,4,31,35,26,5,1,16,11,109
405,"Justin Holiday",947300,26,"CHI","NBA","SG",27,4,510,64,155,0.413,26,60,0.433,38,95,0.4,0.497,22,27,0.815,8,55,63,45,19,15,26,40,176
412,"Allen Crabbe",947276,23,"POR","NBA","SG",81,8,2105,311,678,0.459,112,285,0.393,199,393,0.506,0.541,98,113,0.867,27,189,216,99,63,16,64,192,832
413,"Isaiah Canaan",947276,24,"PHI","NBA","SG",77,39,1966,260,722,0.36,176,485,0.363,84,237,0.354,0.482,150,180,0.833,20,154,174,137,56,12,91,133,846
414,"Hollis Thompson",947276,24,"PHI","NBA","SG",77,17,2154,270,680,0.397,149,392,0.38,121,288,0.42,0.507,69,96,0.719,54,218,272,99,36,24,76,187,758
415,"Ian Clark",947276,24,"GSW","NBA","SG",66,1,578,89,202,0.441,30,84,0.357,59,118,0.5,0.515,28,34,0.824,13,55,68,64,17,13,43,58,236
416,"Troy Daniels",947276,24,"CHO","NBA","SG",43,0,476,89,187,0.476,59,122,0.484,30,65,0.462,0.634,5,9,0.556,7,50,57,21,11,3,24,40,242
419,"Wayne Ellington",923670,28,"BRK","NBA","SG",76,41,1615,218,561,0.389,96,268,0.358,122,293,0.416,0.474,54,63,0.857,20,154,174,83,48,5,45,82,586
426,"Joe Harris",845059,24,"CLE","NBA","SG",5,0,15,1,4,0.25,1,4,0.25,0,0,,0.375,0,0,,0,3,3,2,0,0,1,1,3
427,"Devyn Marble",845059,23,"ORL","NBA","SG",28,0,249,21,71,0.296,8,32,0.25,13,39,0.333,0.352,10,24,0.417,6,32,38,12,13,1,7,25,60
432,"Tyler Johnson",845059,23,"MIA","NBA","SG",36,5,863,118,242,0.488,27,70,0.386,91,172,0.529,0.543,51,64,0.797,28,81,109,79,24,14,47,66,314
436,"Jordan Clarkson",845059,23,"LAL","NBA","SG",79,79,2552,475,1098,0.433,111,320,0.347,364,778,0.468,0.483,164,204,0.804,93,220,313,192,88,7,135,168,1225
441,"Nick Johnson",845059,22,"HOU","NBA","SG",28,0,262,26,75,0.347,5,21,0.238,21,54,0.389,0.38,17,25,0.68,13,26,39,11,7,3,19,34,74
444,"Markel Brown",845059,24,"BRK","NBA","SG",62,6,982,127,322,0.394,38,121,0.314,89,201,0.443,0.453,71,94,0.755,23,99,122,91,38,15,54,94,363
448,"Norman Powell",650000,22,"TOR","NBA","SG",49,24,725,97,229,0.424,36,89,0.404,61,140,0.436,0.502,43,53,0.811,16,95,111,47,29,10,32,59,273
