"Rk","Player","X2015.16","Age","Tm","Lg","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
468,"Anderson Varejao",458575,33,"GSW","NBA","C",22,0,186,21,48,0.438,0,0,,21,48,0.438,0.438,16,29,0.552,13,37,50,15,5,5,6,35,58
469,"Aaron Gray",452059,29,"SAC","NBA","C",33,6,335,25,58,0.431,0,1,0,25,57,0.439,0.431,10,18,0.556,39,64,103,19,10,8,27,57,60
475,"J.J. Hickson",366337,27,"WAS","NBA","C",15,0,131,25,46,0.543,0,1,0,25,45,0.556,0.543,19,44,0.432,17,28,45,7,5,2,9,12,69
477,"Nazr Mohammed",352750,38,"OKC","NBA","C",5,0,19,3,5,0.6,0,0,,3,5,0.6,0.6,2,2,1,1,3,4,0,0,0,3,4,8
479,"Ryan Hollins",336716,31,"MEM","NBA","C",32,9,412,45,72,0.625,0,0,,45,72,0.625,0.625,26,42,0.619,40,47,87,10,6,20,21,58,116
480,"Jason Thompson",328955,29,"TOR","NBA","C",19,6,292,32,66,0.485,5,15,0.333,27,51,0.529,0.523,18,22,0.818,22,58,80,10,8,12,8,40,87
484,"Miroslav Raduljica",3e+05,27,"MIN","NBA","C",5,0,23,3,8,0.375,0,0,,3,8,0.375,0.375,2,2,1,2,3,5,0,1,0,2,8,8
493,"Jeff Ayres",187750,28,"LAC","NBA","C",17,0,107,12,23,0.522,0,1,0,12,22,0.545,0.522,6,6,1,4,18,22,5,0,3,6,18,30
494,"Ryan Hollins",176375,31,"MEM","NBA","C",32,9,412,45,72,0.625,0,0,,45,72,0.625,0.625,26,42,0.619,40,47,87,10,6,20,21,58,116
498,"Ryan Hollins",160340,31,"MEM","NBA","C",32,9,412,45,72,0.625,0,0,,45,72,0.625,0.625,26,42,0.619,40,47,87,10,6,20,21,58,116
500,"Jeff Ayres",129482,28,"LAC","NBA","C",17,0,107,12,23,0.522,0,1,0,12,22,0.545,0.522,6,6,1,4,18,22,5,0,3,6,18,30
504,"Henry Sims",111452,25,"BRK","NBA","C",14,4,263,33,77,0.429,0,0,,33,77,0.429,0.429,25,30,0.833,21,51,72,9,9,14,12,37,91
518,"Ryan Hollins",96000,31,"MEM","NBA","C",32,9,412,45,72,0.625,0,0,,45,72,0.625,0.625,26,42,0.619,40,47,87,10,6,20,21,58,116
520,"Chuck Hayes",83583,32,"HOU","NBA","C",2,0,24,1,2,0.5,0,0,,1,2,0.5,0.5,2,2,1,0,8,8,2,0,0,3,6,4
551,"Henry Sims",50170,25,"BRK","NBA","C",14,4,263,33,77,0.429,0,0,,33,77,0.429,0.429,25,30,0.833,21,51,72,9,9,14,12,37,91
