"Rk","Player","X2015.16","Age","Tm","Lg","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
511,"Keith Appling",1e+05,23,"ORL","NBA","PG",5,0,27,2,8,0.25,0,3,0,2,5,0.4,0.25,2,2,1,0,1,1,1,1,0,3,5,6
513,"Erick Green",1e+05,24,"UTA","NBA","PG",6,0,35,5,12,0.417,1,4,0.25,4,8,0.5,0.458,2,2,1,3,2,5,2,1,0,0,4,13
514,"Erick Green",99418,24,"UTA","NBA","PG",6,0,35,5,12,0.417,1,4,0.25,4,8,0.5,0.458,2,2,1,3,2,5,2,1,0,0,4,13
519,"Tim Frazier",94448,25,"NOP","NBA","PG",16,1,469,76,169,0.45,13,31,0.419,63,138,0.457,0.488,45,59,0.763,15,56,71,120,23,1,38,42,210
522,"Elliot Williams",80000,26,"MEM","NBA","PG",5,0,45,2,10,0.2,1,4,0.25,1,6,0.167,0.25,3,4,0.75,1,3,4,4,0,0,1,2,8
523,"Jordan Farmar",79773,29,"MEM","NBA","PG",12,10,291,42,100,0.42,16,45,0.356,26,55,0.473,0.5,10,10,1,4,21,25,37,15,2,18,22,110
532,"Jordan McRae",61776,24,"CLE","NBA","PG",15,1,113,23,52,0.442,7,11,0.636,16,41,0.39,0.51,9,13,0.692,2,10,12,15,0,1,9,10,62
534,"Keith Appling",61776,23,"ORL","NBA","PG",5,0,27,2,8,0.25,0,3,0,2,5,0.4,0.25,2,2,1,0,1,1,1,1,0,3,5,6
548,"Elliot Williams",55722,26,"MEM","NBA","PG",5,0,45,2,10,0.2,1,4,0.25,1,6,0.167,0.25,3,4,0.75,1,3,4,4,0,0,1,2,8
559,"Tim Frazier",49709,25,"NOP","NBA","PG",16,1,469,76,169,0.45,13,31,0.419,63,138,0.457,0.488,45,59,0.763,15,56,71,120,23,1,38,42,210
561,"Bryce Cotton",49709,23,"MEM","NBA","PG",5,0,6,2,2,1,0,0,,2,2,1,1,0,0,,0,0,0,0,0,0,0,0,4
562,"Nate Robinson",44000,31,"NOP","NBA","PG",2,1,23,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,4,1,0,0,5,0
570,"Briante Weber",30888,23,"MIA","NBA","PG",1,0,3,1,1,1,0,0,,1,1,1,1,0,0,,0,1,1,1,0,0,0,1,2
571,"Jordan McRae",30888,24,"CLE","NBA","PG",15,1,113,23,52,0.442,7,11,0.636,16,41,0.39,0.51,9,13,0.692,2,10,12,15,0,1,9,10,62
581,"Briante Weber",12355,23,"MIA","NBA","PG",1,0,3,1,1,1,0,0,,1,1,1,1,0,0,,0,1,1,1,0,0,0,1,2
585,"Lorenzo Brown",5572,25,"PHO","NBA","PG",8,0,61,8,25,0.32,1,8,0.125,7,17,0.412,0.34,3,4,0.75,0,7,7,11,3,1,9,4,20
